Au (Gold) - Palik

wavelength (microns), Re(index)
0.597953, 0.279154
0.597669, 0.279773
0.597385, 0.280393
0.597102, 0.281014
0.596819, 0.281635
0.596536, 0.282257
0.596253, 0.28288
0.595971, 0.283504
0.595689, 0.284128
0.595407, 0.284754
0.595126, 0.28538
0.594844, 0.286007
0.594563, 0.286635
0.594283, 0.287264
0.594002, 0.287894
0.593722, 0.288524
0.593442, 0.289156
0.593162, 0.289788
0.592883, 0.290422
0.592604, 0.291056
0.592325, 0.291691
0.592046, 0.292327
0.591768, 0.292965
0.591489, 0.293603
0.591212, 0.294242
0.590934, 0.294882
0.590657, 0.295523
0.5904, 0.296117
0.59038, 0.296165
0.590103, 0.296808
0.589826, 0.297452
0.58955, 0.298097
0.589274, 0.298743
0.588998, 0.29939
0.588723, 0.300038
0.588447, 0.300688
0.588172, 0.301338
0.587898, 0.30199
0.587623, 0.302642
0.587349, 0.303296
0.587075, 0.303951
0.586801, 0.304606
0.586528, 0.305263
0.586254, 0.305922
0.585981, 0.306581
0.585709, 0.307242
0.585436, 0.307903
0.585164, 0.308566
0.584892, 0.30923
0.58462, 0.309896
0.584349, 0.310562
0.584078, 0.31123
0.583807, 0.311899
0.583536, 0.312569
0.583266, 0.313241
0.582995, 0.313913
0.582726, 0.314588
0.582456, 0.315263
0.582186, 0.31594
0.581917, 0.316618
0.581648, 0.317297
0.58138, 0.317978
0.581111, 0.31866
0.580843, 0.319343
0.580575, 0.320028
0.580307, 0.320714
0.58004, 0.321401
0.579773, 0.32209
0.579506, 0.322781
0.579239, 0.323473
0.578972, 0.324166
0.578706, 0.324861
0.57844, 0.325557
0.578175, 0.326254
0.577909, 0.326953
0.577644, 0.327654
0.577379, 0.328356
0.577114, 0.32906
0.576849, 0.329765
0.576585, 0.330472
0.576321, 0.33118
0.576057, 0.33189
0.575794, 0.332601
0.57553, 0.333314
0.575267, 0.334029
0.575005, 0.334745
0.574742, 0.335463
0.57448, 0.336182
0.574218, 0.336904
0.573956, 0.337626
0.573694, 0.338351
0.573433, 0.339077
0.573171, 0.339805
0.572911, 0.340535
0.57265, 0.341266
0.572389, 0.341999
0.572129, 0.342734
0.571869, 0.34347
0.571609, 0.344209
0.57135, 0.344949
0.571091, 0.345691
0.570832, 0.346435
0.570573, 0.34718
0.570314, 0.347927
0.570056, 0.348677
0.569798, 0.349428
0.56954, 0.350181
0.569282, 0.350936
0.569025, 0.351693
0.568768, 0.352451
0.568511, 0.353212
0.568254, 0.353974
0.567998, 0.354739
0.567742, 0.355505
0.567486, 0.356274
0.56723, 0.357044
0.566974, 0.357817
0.566719, 0.358591
0.566464, 0.359368
0.566209, 0.360146
0.565954, 0.360927
0.5657, 0.36171
0.565446, 0.362495
0.565192, 0.363281
0.564938, 0.36407
0.564685, 0.364862
0.564431, 0.365655
0.564178, 0.36645
0.563926, 0.367248
0.563673, 0.368048
0.5636, 0.368279
0.563421, 0.36885
0.563169, 0.369654
0.562917, 0.37046
0.562665, 0.371269
0.562414, 0.37208
0.562162, 0.372893
0.561911, 0.373708
0.561661, 0.374526
0.56141, 0.375346
0.56116, 0.376168
0.56091, 0.376993
0.56066, 0.37782
0.56041, 0.378649
0.560161, 0.379481
0.559911, 0.380315
0.559662, 0.381152
0.559414, 0.381991
0.559165, 0.382832
0.558917, 0.383676
0.558669, 0.384522
0.558421, 0.385371
0.558173, 0.386222
0.557926, 0.387076
0.557678, 0.387932
0.557431, 0.388791
0.557185, 0.389653
0.556938, 0.390517
0.556692, 0.391383
0.556446, 0.392252
0.5562, 0.393124
0.555954, 0.393998
