Au (Gold) - Palik

wavelength (microns), Im(index)
0.628407, 3.21029
0.628094, 3.20728
0.62778, 3.20427
0.627467, 3.20126
0.627155, 3.19826
0.626842, 3.19527
0.62653, 3.19227
0.626218, 3.18929
0.625907, 3.1863
0.625596, 3.18332
0.625285, 3.18035
0.624975, 3.17737
0.624664, 3.17441
0.624354, 3.17144
0.624045, 3.16848
0.623736, 3.16553
0.623427, 3.16258
0.623118, 3.15963
0.62281, 3.15668
0.622502, 3.15374
0.622194, 3.15081
0.621886, 3.14788
0.621579, 3.14495
0.621272, 3.14203
0.620966, 3.13911
0.62066, 3.13619
0.620354, 3.13328
0.620048, 3.13037
0.6199, 3.12896
0.619743, 3.12746
0.619438, 3.12456
0.619133, 3.12166
0.618828, 3.11877
0.618524, 3.11588
0.618221, 3.11299
0.617917, 3.11011
0.617614, 3.10723
0.617311, 3.10436
0.617008, 3.10149
0.616706, 3.09862
0.616404, 3.09575
0.616102, 3.09289
0.615801, 3.09003
0.615499, 3.08718
0.615199, 3.08433
0.614898, 3.08148
0.614598, 3.07864
0.614298, 3.0758
0.613998, 3.07296
0.613699, 3.07013
0.613399, 3.0673
0.613101, 3.06447
0.612802, 3.06165
0.612504, 3.05883
0.612206, 3.05601
0.611908, 3.0532
0.611611, 3.05039
0.611314, 3.04758
0.611017, 3.04478
0.61072, 3.04198
0.610424, 3.03918
0.610128, 3.03639
0.609833, 3.0336
0.609537, 3.03081
0.609242, 3.02803
0.608947, 3.02525
0.608653, 3.02247
0.608359, 3.01969
0.608065, 3.01692
0.607771, 3.01415
0.607478, 3.01139
0.607185, 3.00863
0.606892, 3.00587
0.606599, 3.00311
0.606307, 3.00036
0.606015, 2.99761
0.605724, 2.99486
0.605432, 2.99211
0.605141, 2.98937
0.60485, 2.98663
0.60456, 2.9839
0.604269, 2.98117
0.603979, 2.97844
0.60369, 2.97571
0.6034, 2.97299
0.603111, 2.97027
0.602822, 2.96755
0.602534, 2.96483
0.602245, 2.96212
0.601957, 2.95941
0.601669, 2.9567
0.601382, 2.954
0.601095, 2.9513
0.600808, 2.9486
0.600521, 2.9459
0.600235, 2.94321
0.599948, 2.94052
0.599663, 2.93783
0.599377, 2.93515
0.599092, 2.93246
0.598807, 2.92978
0.598522, 2.92711
0.598237, 2.92443
0.597953, 2.92176
0.597669, 2.91909
0.597385, 2.91642
0.597102, 2.91376
0.596819, 2.9111
0.596536, 2.90844
0.596253, 2.90578
0.595971, 2.90313
0.595689, 2.90048
0.595407, 2.89783
0.595126, 2.89518
0.594844, 2.89254
0.594563, 2.8899
0.594283, 2.88726
0.594002, 2.88462
0.593722, 2.88199
0.593442, 2.87936
0.593162, 2.87673
0.592883, 2.8741
0.592604, 2.87148
0.592325, 2.86886
0.592046, 2.86624
0.591768, 2.86362
0.591489, 2.86101
0.591212, 2.85839
0.590934, 2.85578
0.590657, 2.85318
0.5904, 2.85076
0.59038, 2.85057
0.590103, 2.84797
0.589826, 2.84537
0.58955, 2.84277
0.589274, 2.84017
0.588998, 2.83758
0.588723, 2.83499
0.588447, 2.8324
0.588172, 2.82981
0.587898, 2.82723
0.587623, 2.82464
0.587349, 2.82206
0.587075, 2.81949
0.586801, 2.81691
0.586528, 2.81434
0.586254, 2.81176
0.585981, 2.8092
0.585709, 2.80663
0.585436, 2.80406
0.585164, 2.8015
0.584892, 2.79894
0.58462, 2.79638
0.584349, 2.79382
0.584078, 2.79127
0.583807, 2.78872
0.583536, 2.78617
0.583266, 2.78362
0.582995, 2.78107
0.582726, 2.77853
0.582456, 2.77599
0.582186, 2.77345
0.581917, 2.77091
0.581648, 2.76838
0.58138, 2.76584
0.581111, 2.76331
0.580843, 2.76078
0.580575, 2.75826
0.580307, 2.75573
0.58004, 2.75321
0.579773, 2.75069
0.579506, 2.74817
0.579239, 2.74565
0.578972, 2.74313
0.578706, 2.74062
0.57844, 2.73811
0.578175, 2.7356
0.577909, 2.73309
0.577644, 2.73059
0.577379, 2.72808
0.577114, 2.72558
0.576849, 2.72308
0.576585, 2.72059
0.576321, 2.71809
0.576057, 2.7156
0.575794, 2.7131
0.57553, 2.71061
0.575267, 2.70813
0.575005, 2.70564
0.574742, 2.70316
0.57448, 2.70067
0.574218, 2.69819
0.573956, 2.69571
0.573694, 2.69324
0.573433, 2.69076
0.573171, 2.68829
0.572911, 2.68582
0.57265, 2.68335
0.572389, 2.68088
0.572129, 2.67842
0.571869, 2.67595
0.571609, 2.67349
0.57135, 2.67103
0.571091, 2.66857
0.570832, 2.66612
0.570573, 2.66366
0.570314, 2.66121
0.570056, 2.65876
0.569798, 2.65631
0.56954, 2.65386
0.569282, 2.65142
0.569025, 2.64897
0.568768, 2.64653
0.568511, 2.64409
0.568254, 2.64165
0.567998, 2.63922
0.567742, 2.63678
0.567486, 2.63435
0.56723, 2.63192
0.566974, 2.62949
0.566719, 2.62706
0.566464, 2.62464
0.566209, 2.62221
0.565954, 2.61979
0.5657, 2.61737
0.565446, 2.61495
0.565192, 2.61254
0.564938, 2.61012
0.564685, 2.60771
0.564431, 2.6053
0.564178, 2.60289
0.563926, 2.60048
0.563673, 2.59807
0.5636, 2.59738
0.563421, 2.59567
0.563169, 2.59327
0.562917, 2.59087
0.562665, 2.58847
0.562414, 2.58607
0.562162, 2.58367
0.561911, 2.58128
0.561661, 2.57889
0.56141, 2.5765
0.56116, 2.57411
0.56091, 2.57172
0.56066, 2.56934
0.56041, 2.56696
0.560161, 2.56457
0.559911, 2.56219
0.559662, 2.55982
0.559414, 2.55744
0.559165, 2.55507
0.558917, 2.55269
0.558669, 2.55032
0.558421, 2.54795
0.558173, 2.54559
0.557926, 2.54322
0.557678, 2.54086
0.557431, 2.5385
0.557185, 2.53613
0.556938, 2.53378
0.556692, 2.53142
0.556446, 2.52907
0.5562, 2.52671
0.555954, 2.52436
0.555708, 2.52201
0.555463, 2.51966
0.555218, 2.51732
0.554973, 2.51497
0.554729, 2.51263
0.554484, 2.51029
0.55424, 2.50795
0.553996, 2.50561
0.553752, 2.50328
0.553509, 2.50095
0.553266, 2.49861
0.553022, 2.49629
0.552779, 2.49396
0.552537, 2.49163
0.552294, 2.48931
0.552052, 2.48698
0.55181, 2.48466
0.551568, 2.48235
0.551327, 2.48003
0.551085, 2.47771
0.550844, 2.4754
0.550603, 2.47309
0.550362, 2.47078
0.550122, 2.46847
0.549881, 2.46617
0.549641, 2.46386
0.549401, 2.46156
0.549161, 2.45926
0.548922, 2.45696
0.548683, 2.45467
0.548443, 2.45237
0.548205, 2.45008
0.547966, 2.44779
0.547727, 2.4455
0.547489, 2.44321
0.547251, 2.44093
0.547013, 2.43865
0.546776, 2.43637
0.546538, 2.43409
0.546301, 2.43181
0.546064, 2.42954
0.545827, 2.42726
0.54559, 2.42499
0.545354, 2.42272
0.545118, 2.42046
0.544882, 2.41819
0.544646, 2.41593
0.54441, 2.41367
0.544175, 2.41141
0.54394, 2.40915
0.543705, 2.4069
0.54347, 2.40464
0.543235, 2.40239
0.543001, 2.40015
0.542767, 2.3979
0.542533, 2.39566
0.542299, 2.39341
0.542065, 2.39117
0.541832, 2.38894
0.541599, 2.3867
0.541366, 2.38447
0.541133, 2.38223
0.540901, 2.38001
0.540668, 2.37778
0.540436, 2.37555
0.540204, 2.37333
0.539972, 2.37111
0.539741, 2.36889
0.539509, 2.36668
0.539278, 2.36446
0.5391, 2.36276
0.539047, 2.36225
0.538816, 2.36004
0.538586, 2.35784
0.538355, 2.35563
0.538125, 2.35343
0.537895, 2.35123
0.537665, 2.34903
0.537436, 2.34684
0.537206, 2.34464
0.536977, 2.34245
0.536748, 2.34026
0.536519, 2.33808
0.536291, 2.3359
0.536062, 2.33372
0.535834, 2.33154
0.535606, 2.32936
0.535378, 2.32719
0.535151, 2.32502
0.534923, 2.32285
0.534696, 2.32068
0.534469, 2.31852
0.534242, 2.31636
0.534015, 2.3142
0.533789, 2.31205
0.533562, 2.30989
0.533336, 2.30774
0.53311, 2.30559
0.532885, 2.30345
0.532659, 2.30131
0.532434, 2.29917
0.532209, 2.29703
0.531984, 2.2949
0.531759, 2.29277
0.531534, 2.29064
0.53131, 2.28851
0.531086, 2.28639
0.530862, 2.28427
0.530638, 2.28215
0.530414, 2.28004
0.530191, 2.27792
0.529967, 2.27582
0.529744, 2.27371
0.529521, 2.27161
0.529299, 2.26951
0.529076, 2.26741
0.528854, 2.26532
0.528632, 2.26323
0.52841, 2.26114
0.528188, 2.25905
0.527966, 2.25697
0.527745, 2.25489
0.527524, 2.25282
0.527303, 2.25075
0.527082, 2.24868
0.526861, 2.24661
0.526641, 2.24455
0.526421, 2.24249
0.5262, 2.24043
0.525981, 2.23838
0.525761, 2.23633
0.525541, 2.23428
0.525322, 2.23224
0.525103, 2.2302
0.524884, 2.22817
0.524665, 2.22613
0.524446, 2.2241
0.524228, 2.22208
0.52401, 2.22006
0.523791, 2.21804
0.523574, 2.21602
0.523356, 2.21401
0.523138, 2.212
0.522921, 2.21
0.522704, 2.208
0.522487, 2.206
0.52227, 2.20401
0.522053, 2.20202
0.521837, 2.20003
0.521621, 2.19805
0.521404, 2.19607
0.521188, 2.1941
0.520973, 2.19213
0.520757, 2.19016
0.520542, 2.1882
0.520327, 2.18624
0.520112, 2.18429
0.519897, 2.18234
0.519682, 2.18039
0.519467, 2.17845
0.519253, 2.17651
0.519039, 2.17458
0.518825, 2.17265
0.518611, 2.17073
0.518398, 2.1688
0.518184, 2.16689
0.517971, 2.16498
0.517758, 2.16307
0.517545, 2.16116
0.517332, 2.15927
0.51712, 2.15737
0.516907, 2.15548
0.516695, 2.1536
0.5166, 2.15275
0.516483, 2.15171
0.516271, 2.14984
0.516059, 2.14797
0.515848, 2.1461
0.515636, 2.14424
0.515425, 2.14238
0.515214, 2.14053
0.515003, 2.13868
0.514793, 2.13683
0.514582, 2.135
0.514372, 2.13316
0.514162, 2.13133
0.513952, 2.12951
0.513742, 2.12769
0.513532, 2.12588
0.513323, 2.12407
0.513114, 2.12227
0.512905, 2.12047
0.512696, 2.11868
0.512487, 2.11689
0.512278, 2.11511
0.51207, 2.11333
0.511862, 2.11156
0.511653, 2.10979
0.511446, 2.10803
0.511238, 2.10628
0.51103, 2.10453
0.510823, 2.10278
0.510616, 2.10104
0.510408, 2.09931
0.510202, 2.09758
0.509995, 2.09586
0.509788, 2.09415
0.509582, 2.09244
0.509376, 2.09073
0.509169, 2.08903
0.508964, 2.08734
0.508758, 2.08566
0.508552, 2.08398
0.508347, 2.0823
0.508142, 2.08063
0.507936, 2.07897
0.507732, 2.07732
0.507527, 2.07567
0.507322, 2.07402
0.507118, 2.07239
0.506914, 2.07076
0.506709, 2.06913
0.506505, 2.06752
0.506302, 2.06591
0.506098, 2.0643
0.505895, 2.0627
0.505691, 2.06111
0.505488, 2.05953
0.505285, 2.05795
0.505083, 2.05638
0.50488, 2.05481
0.504677, 2.05326
0.504475, 2.05171
0.504273, 2.05016
0.504071, 2.04863
0.503869, 2.0471
0.503668, 2.04558
0.503466, 2.04406
0.503265, 2.04255
0.503064, 2.04105
0.502863, 2.03956
0.502662, 2.03807
0.502461, 2.03659
0.502261, 2.03512
0.50206, 2.03366
0.50186, 2.0322
0.50166, 2.03076
0.50146, 2.02931
0.50126, 2.02788
0.501061, 2.02646
0.500861, 2.02504
0.500662, 2.02363
0.500463, 2.02223
0.500264, 2.02083
0.500065, 2.01945
0.499867, 2.01807
0.499668, 2.0167
0.49947, 2.01533
0.499272, 2.01398
0.499074, 2.01264
0.498876, 2.0113
0.498678, 2.00997
0.498481, 2.00865
0.498283, 2.00734
0.498086, 2.00603
0.497889, 2.00474
0.497692, 2.00345
0.497496, 2.00217
0.497299, 2.0009
0.497103, 1.99964
0.496906, 1.99839
0.49671, 1.99715
0.496514, 1.99591
0.496318, 1.99468
0.496123, 1.99347
0.495927, 1.99226
0.4959, 1.99209
0.495732, 1.99106
0.495537, 1.98987
0.495342, 1.98869
0.495147, 1.98752
0.494952, 1.98636
0.494757, 1.98521
0.494563, 1.98406
0.494369, 1.98293
0.494175, 1.9818
0.493981, 1.98069
0.493787, 1.97958
0.493593, 1.97849
0.4934, 1.9774
0.493206, 1.97632
0.493013, 1.97526
0.49282, 1.9742
0.492627, 1.97315
0.492434, 1.97211
0.492242, 1.97109
0.492049, 1.97007
0.491857, 1.96906
0.491665, 1.96806
0.491473, 1.96708
0.491281, 1.9661
